"Fund Name:","Record Date:","Meeting Date","CUSIP","Broadridge Job Number:","Issuer:","Broadridge Client Number:","Total Shares Held via Broadridge Reports:","Number of Proxy Edge Accounts:","Number of Special Processing Accounts:"
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","1ST SOURCE BANK                                                            ","18K       ",5156.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","1ST SUMMIT BANK                                                            ","2B7       ",25.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","833 EAST & CO, LLC (GODFREY KAHN)                                          ","3PE       ",300.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",AAFMAA WEALTH MANAGEMENT & TRUST                                           ,"0XH       ",58.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ABN AMRO CLEARING CHICAGO LLC.                                             ,"069       ",477588.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ACNB BANK                                                                  ,"94S       ",57.000000,2,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ADAMS BANK & TRUST                                                         ,"69Z       ",1469.000000,5,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ADVANTAGE TRUST COMPANY                                                    ,"16Y       ",4340.000000,5,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067","ADVOCACY TRUST OF TENNESSEE, LLC                                           ","3KE       ",31.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ALERUS FINANCIAL                                                           ,"95Q       ",3025.000000,4,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ALIGNED PARTNERS TRUST COMPANY                                             ,"37N       ",4106.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ALLIANCE BERNSTEIN                                                         ,"013       ",146070.000000,4,497
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ALPACA SECURITIES LLC                                                      ,"7QW       ",173405.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ALPINE BANK WEALTH MANAGEMENT                                              ,"43Y       ",85.000000,1,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",ALPINE SECURITIES                                                          ,"072       ",85.000000,0,0
"Invesco QQQ Trust, Series 1                                                                         ",2025-08-15,2025-10-24,"46090E103","S19597, MC0067",AMALGAMATED BANK                                                           ,"1T5       ",5653.000000,6,0
